"Council","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024"
"Midlothian",2,0,8,0,5,4,3,1,3,1,3,5,2,2,2,3,1,0,0,4,3,4,0,1,2,3,2,2,0,1,1,3,2,2,2,4,0,2,1,3,5,1,0,1,1,3,0,0,3,1,2,5,2,2,2,1,2,1,0,2,3,2,3,2,2,1,0,1,1,2,0,2,3,0,1,0,1,2,1,1,3,1,0,2
"Moray",1,2,3,3,1,1,5,2,4,4,2,1,4,4,3,3,0,2,7,2,3,0,0,1,2,1,1,2,1,2,5,3,2,1,1,0,3,2,5,3,5,2,2,0,2,2,1,3,2,2,2,7,1,0,2,2,0,4,4,1,1,0,2,1,2,0,0,1,0,1,2,2,1,0,4,0,1,1,3,3,0,1,4,1
"North Lanarkshire",7,6,7,1,2,5,4,8,6,2,7,4,6,7,6,2,4,2,5,2,5,0,14,4,4,7,6,7,3,9,1,6,4,3,2,1,1,3,9,8,4,6,2,4,4,3,3,3,4,4,7,1,3,14,8,6,4,3,4,2,6,7,5,5,2,5,3,2,5,4,9,4,3,3,9,3,6,2,3,3,3,2,5,7
"Orkney Islands",1,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,2,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
"Renfrewshire",4,2,1,2,4,1,0,1,3,2,0,2,36,4,2,1,1,2,2,1,2,0,3,4,2,3,2,0,2,0,0,4,1,2,2,1,2,1,1,2,2,1,4,3,1,1,1,1,0,0,3,3,1,2,4,4,0,2,1,0,3,0,1,0,3,2,1,2,0,2,1,0,2,1,2,5,0,1,1,2,0,3,3,3
"South Lanarkshire",3,7,3,4,5,3,3,1,3,3,4,5,3,5,1,7,5,6,1,10,5,2,4,3,0,4,5,8,5,1,3,3,2,3,5,2,2,3,2,4,6,2,2,1,3,2,2,3,2,4,1,8,2,6,3,3,6,5,4,2,1,2,3,2,5,7,1,4,3,1,3,10,7,0,6,5,2,6,6,1,2,14,3,3
"Stirling",1,3,5,4,4,2,1,4,3,2,1,1,2,5,6,1,2,3,2,3,1,11,3,4,4,2,2,1,2,2,2,2,2,1,1,1,1,0,3,3,1,1,1,1,2,0,0,3,3,2,1,1,2,2,6,1,4,1,5,0,0,2,1,3,1,1,1,1,3,2,4,4,4,0,1,2,1,1,0,2,0,0,2,2
"West Dunbartonshire",1,4,1,0,0,2,0,3,4,1,2,2,0,2,1,0,2,0,0,0,2,0,3,0,2,2,1,1,0,18,0,0,1,2,1,0,0,0,1,1,0,2,4,1,2,1,0,3,0,1,1,2,4,0,1,2,0,0,0,1,1,1,1,0,1,1,1,1,2,1,2,0,0,0,1,1,1,1,1,3,0,2,1,2
"West Lothian",1,2,9,3,2,0,4,7,5,7,7,0,1,6,3,7,4,2,4,2,5,10,3,1,2,9,7,4,0,7,2,3,4,12,3,1,2,4,7,6,10,4,1,3,1,2,0,2,2,0,4,5,2,4,7,5,3,7,1,1,2,6,4,4,5,3,5,3,2,1,6,3,2,2,1,4,3,1,4,3,4,3,3,3
"East Dunbartonshire",1,2,4,0,2,0,0,5,0,2,3,1,1,6,5,4,0,2,1,2,3,4,4,1,4,1,2,0,1,0,1,7,11,3,2,0,2,0,4,1,5,2,0,1,0,1,1,2,0,0,1,2,6,1,1,2,1,1,2,0,1,2,4,3,1,1,0,0,2,6,1,1,1,1,0,1,0,0,3,3,1,1,2,3
"East Renfrewshire",3,2,3,0,1,0,1,4,4,1,1,0,6,5,2,2,1,2,1,3,1,2,1,3,0,3,3,0,1,1,2,6,2,2,2,0,3,0,3,2,0,1,7,3,0,0,1,1,0,3,1,4,0,3,2,3,0,3,0,0,3,3,5,1,2,3,2,0,1,0,2,3,0,1,3,0,0,2,1,0,2,1,2,1
"Inverclyde",1,0,2,1,2,0,0,4,1,0,3,1,1,3,0,1,0,1,3,0,2,2,3,1,0,1,0,0,2,1,1,2,2,1,0,1,3,0,0,1,0,2,0,0,3,0,0,2,0,0,2,0,2,3,1,0,0,3,0,1,3,4,4,0,0,1,1,0,1,0,0,1,1,0,2,1,0,1,3,2,2,1,5,0
"North Ayrshire",3,2,5,0,4,2,1,2,1,4,1,3,2,3,2,1,4,0,3,0,4,2,3,0,3,0,1,4,1,2,4,5,3,1,2,1,1,6,3,2,3,4,2,3,1,2,1,1,0,3,2,1,2,3,3,3,5,4,2,1,2,1,3,0,1,3,2,0,2,0,3,2,2,2,5,2,3,4,1,3,3,5,0,2
"Perth & Kinross",3,2,7,2,3,2,2,5,5,2,2,3,2,4,1,5,5,2,4,1,2,1,4,3,4,13,3,4,4,6,5,3,2,1,7,1,0,3,10,0,7,2,5,2,4,0,4,4,0,0,5,2,4,4,7,8,5,3,5,2,0,3,2,1,1,5,7,0,1,2,2,3,4,4,4,1,2,0,0,3,0,2,2,4
"Scottish Borders",8,3,4,3,5,2,1,4,7,3,1,3,6,5,6,0,2,1,0,6,1,2,2,0,3,4,4,4,3,2,13,18,4,2,2,0,2,2,7,0,0,0,0,1,1,0,0,2,2,1,0,2,2,2,1,0,0,1,4,2,2,1,2,0,2,0,2,0,1,2,3,1,0,2,5,0,1,1,0,1,1,3,1,0
"South Ayrshire",0,2,4,32,3,1,2,1,3,4,2,5,2,4,2,0,3,2,4,2,6,5,4,1,3,4,3,1,2,2,0,5,0,2,0,1,1,3,0,1,5,0,0,3,1,0,0,2,2,1,0,2,3,1,0,1,1,2,3,1,0,3,4,1,2,0,4,0,2,1,4,1,0,3,3,1,1,0,0,4,1,3,0,2
"Na h-Eileanan Siar",0,0,0,1,0,1,0,1,0,3,1,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,1,1,2,1,2,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,4,2,1,1,0,0,0,0,0,0,1,0,3,1,1,1,0,0,1,0,1,2,1,0
"outside Scotland",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"Shetland Islands",0,1,0,0,0,1,1,3,1,0,0,0,0,2,1,0,0,0,1,1,2,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,1,0,2,1,2,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
